Column0,Compound,myY,Fit,AbsResidual
209534,Mg1Nb2Sc1,7.5111,7.817293937778475,0.3061939377784748
76664,Bi4Er4O36W8,4.8843,4.186167618846895,0.6981323811531048
8447,Ag1Na2Sb1,2.9982,3.844123320150377,0.8459233201503769
226671,Ni4O28P8Si2,1.7051,1.6633663074016587,0.041733692598341365
187293,In1Mn1Sb2,7.5201,7.738820597934725,0.2187205979347251
192416,Ir2Nb1Ru1,9.7703,10.015938967704775,0.24563896770477456
134992,C7Si7,8.0031,6.695668876934054,1.307431123065946
69427,Be2Mo1Pb1,7.2494,7.374631054973604,0.12523105497360465
97798,Ca1In1Si2,6.4657,6.687799762725832,0.22209976272583187
232906,Os2Pt1Rh1,7.6571,7.744166836214068,0.08706683621406786
144161,Cu6Sb8U6,8.6365,8.460026326799396,0.17647367320060425
60790,B1Ca2Hg1,4.3916,4.3583604552269,0.03323954477310043
19677,Al1Ga1Se2,6.1082,6.494052571487429,0.3858525714874288
177612,Hf1Os2Re1,7.7084,7.639000622034075,0.06939937796592499
118030,Cl1Sb1Te1,4.7029,5.189624881887438,0.48672488188743834
221060,Na2Pb1W1,4.1407,4.515202267169954,0.3745022671699543
4580,Ag1Cr1Se2,2.8866,2.8450866358757034,0.041513364124296626
18089,Al2Cu2Se4,3.4268,3.4462066972255725,0.019406697225572422
159353,Ga1K1Re1,2.8964,2.916521736717226,0.020121736717225946
17559,Al4Cs12Te12,1.5401,1.5512606719017044,0.011160671901704333
42926,Au4Gd2Si4,6.4636,5.96750355987549,0.4960964401245098
172593,Ge1Rh2Zr1,7.4825,7.471573217964174,0.010926782035825866
125838,Co1Re1Sn2,7.6412,7.736487290620806,0.09528729062080554
151117,Fe1Na1Sb2,7.5926,7.6999549984931965,0.10735499849319652
148189,Fe1Ge2Ti1,8.2129,8.504169597148897,0.2912695971488972
21341,Al1In2Ru1,8.9867,8.913895941448214,0.07280405855178707
136271,Cu1Ga1K1,1.5869,1.7322271067857757,0.14532710678577576
94539,Ca1Co1Ni2,5.1775,5.707715906572344,0.5302159065723435
36565,As1Mo1Pd2,6.6279,6.892400765514376,0.2645007655143754
45811,Au2P2Pb2,6.1387,6.23304885568619,0.09434885568618956
163792,Ga1Rh1Te1,7.7096,7.786688689899447,0.07708868989944673
243573,Rh1Sc1Tc1,4.5952,5.191173697805406,0.5959736978054062
89801,B2Rh1Tc1,8.9974,9.483640380334856,0.4862403803348556
51467,Ba1Ga1Ge1,2.4772,3.0394045496463793,0.5622045496463794
156316,F2La2S2,6.0527,6.178840298557283,0.12614029855728326
211733,Mg1Ru1Tc1,4.8379,5.348118360805513,0.5102183608055126
